bstn,hostname,role,ip,root_ip,serialNumber,platform,model
RJ-JOD-J96,RJ-JOD-J96-C3-ST-CCE-E12T-S01,CCE,100.71.139.222,100.71.139.222,EC2322002324,EdgeCOS,ECS4100-12T
HR-JHR-L91,HR-JHR-L91-C3-ST-CCE-E12T-S01,CCE,100.71.18.235,100.71.18.235,EC2422001418,EdgeCOS,ECS4100-12T
OR-ROU-B57,OR-ROU-B57-C3-ST-CCE-E12T-S01,CCE,100.71.165.236,100.71.165.236,EC2345003553,EdgeCOS,ECS4100-12T
TS-HYD-A23,TS-HYD-A23-C3-ST-CCE-E12T-S01,CCE,100.127.249.141,100.127.249.141,EC2405001043,EdgeCOS,ECS4100-12T
HP-KGR-JGS,HP-KGR-JGS-B3-IW-ABS-U28T-S01,ABS,100.64.179.206,100.64.179.206,21023538368YH5006036,VRP,s5700S-28P-LI-AC
KA-BLR-D39,KA-BLR-D39-C3-ST-CCE-E12T-S01,CCE,100.71.152.110,100.71.152.110,EC2418002031,EdgeCOS,ECS4100-12T
KA-BLR-G23,KA-BLR-G23-C3-ST-CCE-E12T-S01,CCE,100.72.6.87,100.72.6.87,EC2405001010,EdgeCOS,ECS4100-12T
AP-VIZ-K55,AP-VIZ-K55-C3-ST-CCE-E12T-S01,CCE,100.72.67.154,100.72.67.154,EC2404005448,EdgeCOS,ECS4100-12T
KA-BLR-G17,KA-BLR-G17-C3-ST-CCE-E12T-S01,CCE,100.72.7.248,100.72.7.248,EC2418002215,EdgeCOS,ECS4100-12T
TN-MAA-K78,TN-MAA-K78-C3-ST-CCE-E12T-S01,CCE,100.70.230.90,100.70.230.90,EC2418002061,EdgeCOS,ECS4100-12T
TN-MAA-M11,TN-MAA-M11-C3-ST-CCE-E12T-S01,CCE,100.70.230.91,100.70.230.91,EC2418002084,EdgeCOS,ECS4100-12T
TN-TML-K86,TN-TML-K86-C3-ST-CCE-E12T-S01,CCE,100.71.46.36,100.71.46.36,EC2418002029,EdgeCOS,ECS4100-12T
MH-MUM-EFE,MH-MUM-EFE-B1-ST-MLU-US57-S01,MLU,100.71.144.138,100.71.144.138,21023538368YJ1002795,VRP,s5700S-28P-LI-AC
MH-NAS-G41,MH-NAS-G41-C3-ST-CCE-E12T-S01,CCE,100.71.144.250,100.71.144.250,EC2405001057,EdgeCOS,ECS4100-12T
TN-MDU-N73,TN-MDU-N73-C3-ST-CCE-E12T-S01,CCE,100.72.52.102,100.72.52.102,EC2418002015,EdgeCOS,ECS4100-12T
