x_sitl_telco_sify_u_lms_id,x_sitl_telco_sify_u_aconnectinginterface,x_sitl_telco_sify_u_zconnectinginterface,x_sitl_telco_sify_u_a_device,x_sitl_telco_sify_u_z_device,x_sitl_telco_sify_u_link_status,u_provider_circuit_id,x_sitl_telco_sify_u_circuit_id,x_sitl_telco_sify_u_bandwidth,u_bandwidth_units,sys_class_name,x_sitl_telco_sify_u_vendor_name,u_a_pop,u_z_pop,x_sitl_telco_sify_u_total_distance,x_sitl_telco_sify_u_link_description
25062,TenGigabitEthernet1/2,TenGigabitEthernet2/1/11,100.71.153.54,100.71.112.98,Active,Indore-Indore2-RS Network,Indore-Indore2-RS Network,,,Sify_DataLinks_Fiber,RS NETWORK SOLUTION,MP-IND-IOR,MP-IND-IND,1.7782,
25130,XGigabitEthernet0/0/1,,100.70.143.107,,Active,Maple-Misrod-Anchor,Maple-Misrod-Anchor,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,MP-BPL-M1S,,3.38,
25438,GigabitEthernet0/0/26,GigabitEthernet0/0/26,202.144.113.226,100.67.8.86,Active,Jabalpur-Surya-BALSANT,Jabalpur-Surya-BALSANT,,,Sify_DataLinks_Fiber,SHRI BALSANT INFOTECH,MP-JAB-JAB,MP-JAB-LPJ,2.988,
20059,TenGigabitEthernet1/3,TenGigabitEthernet1/7,100.66.44.129,100.66.44.132,Active,20059-LMS,20059-LMS,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,MH-MUM-VBS,MH-MUM-RBP,2.851,
21053,TenGigE0/0/1/1,TenGigabitEthernet1/3,100.66.29.8,100.66.46.9,Active,21053,21053,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,MH-MUM-LVS,MH-MUM-EKA,8.112,
21090,TenGigE0/0/0/0,TenGigE0/0/0/1,100.70.252.192,100.66.29.6,Active,21090,21090,,,Sify_DataLinks_Fiber,REVMAX TELECOM INFRASTRUCTURES PVT LTD,MH-MUM-SAB,MH-MUM-NTG,23.349,
21811,GigabitEthernet0/0/25,,100.70.122.98,,Active,Raipur Crystal to MMI Hospital,Raipur Crystal to MMI Hospital,,,Sify_DataLinks_Fiber,ANCHOR COMMUNICATION,CG-RPR-CYE,,6.5,
22028,,,,,Active,22028,22028,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,13.5,
22043,,,,,Active,22043,22043,,,Sify_DataLinks_Fiber,EXCEL TELESONIC INDIA PVT LTD,,,13.5,
22472,,,,,Active,22472,22472,,,Sify_DataLinks_Fiber,SAITECH TELECOM PRIVATE LIMITED,,,5.542,
